Region,State,Year,Population,Property crime rate,Violent Crime rate
Midwest Region,Minnesota,1970,3805069,3048.9,152
Midwest Region,Michigan,1970,8875083,4931.8,575.7
Midwest Region,Kansas,1970,2249071,3440.8,202.8
Midwest Region,Iowa,1970,2825041,2425.8,79.3
Midwest Region,Indiana,1970,5193669,3250.3,234.6
Midwest Region,Illinois,1970,11113976,3311.6,467.9
West Region,Wyoming,1971,340000,2660,156.5
West Region,Washington,1971,3449000,4649.4,236.4
West Region,Utah,1971,1099000,4332.1,153.7
West Region,Oregon,1971,2158000,4646.2,293.6
West Region,New Mexico,1971,1030000,4718,387.8
West Region,Nevada,1971,507000,5089.3,372.2
West Region,Montana,1971,708000,3046.8,137.1
West Region,Idaho,1971,732000,3382.2,125.3
West Region,Hawaii,1971,789000,5226.9,231.9
West Region,Colorado,1971,2283000,5143.3,373.6
West Region,California,1971,20223000,6171.5,518.6
West Region,Arizona,1971,1849000,5540.9,400.6
West Region,Alaska,1971,313000,3809.3,355.3
South Region,West Virginia,1971,1752000,1269.5,131.9
South Region,Virginia,1971,4714000,3307.2,326.3
South Region,Texas,1971,11460000,3724.1,376
South Region,Tennessee,1971,3990000,2299.4,313.8
South Region,South Carolina,1971,2627000,2826.8,311.7
South Region,Oklahoma,1971,2610000,2867,257.4
South Region,North Carolina,1971,5146000,2341.5,387.7
South Region,Mississippi,1971,2226000,1324.2,276.3
South Region,Maryland,1971,4000000,4177.8,621.4
South Region,Louisiana,1971,3681000,3043,413.1
South Region,Kentucky,1971,3282000,2246.6,235.1
South Region,Georgia,1971,4664000,2707,340.9
South Region,Florida,1971,7041000,5125.2,547.9
South Region,Delaware,1971,558000,4645.9,369.2
South Region,Arkansas,1971,1944000,2087.5,240.7
South Region,Alabama,1971,3479000,2187,311.4
Northeast Region,Vermont,1971,458000,2007.6,72.7
Northeast Region,Rhode Island,1971,960000,4588.3,221.8
Northeast Region,Pennsylvania,1971,11879000,2299.5,268.7
Northeast Region,New York,1971,18391000,4295.4,788.7
Northeast Region,New Jersey,1971,7300000,3603.1,362.2
Northeast Region,New Hampshire,1971,762000,1997.1,76.1
Northeast Region,Massachusetts,1971,5758000,4081.5,266
Northeast Region,Maine,1971,1003000,2226.2,90
Northeast Region,Connecticut,1971,3081000,3452.5,193.7
Midwest Region,Wisconsin,1971,4476000,2921.8,88.4
Midwest Region,South Dakota,1971,670000,1963.1,96.1
Midwest Region,Ohio,1971,10778000,3367.8,298.4
Midwest Region,North Dakota,1971,625000,2012.3,38.1
Midwest Region,Nebraska,1971,1512000,2383.1,155.8
Midwest Region,Missouri,1971,4749000,3659,386.5
Midwest Region,Minnesota,1971,3881000,3382.5,154.4
Midwest Region,Michigan,1971,8997000,5140.6,574.6
Midwest Region,Kansas,1971,2258000,3280.7,214.5
Midwest Region,Iowa,1971,2852000,2526.6,98.9
Midwest Region,Indiana,1971,5274000,3275.7,247.1
Midwest Region,Illinois,1971,11196000,3408.1,477.3
West Region,Wyoming,1972,345000,2884.1,148.1
West Region,Washington,1972,3443000,4452.7,250.6
West Region,Utah,1972,1126000,4023.2,183.2
West Region,Oregon,1972,2182000,4750.8,297.6
West Region,New Mexico,1972,1065000,4516.6,431.7
West Region,Nevada,1972,527000,5420.5,429.6
West Region,Montana,1972,719000,3055.2,150.1
West Region,Idaho,1972,756000,3276.9,143.5
West Region,Hawaii,1972,809000,4457,155.5
West Region,Colorado,1972,2357000,5188.2,405.4
West Region,California,1972,20468000,5872.4,540.7
West Region,Arizona,1972,1945000,5484.4,448.9
West Region,Alaska,1972,325000,4108,370.5
South Region,West Virginia,1972,1781000,1307.4,129.1
South Region,Virginia,1972,4764000,3040.4,346
South Region,Texas,1972,11649000,3560,354.4
South Region,Tennessee,1972,4031000,2327.3,319
South Region,South Carolina,1972,2665000,2877.7,386.9
South Region,Oklahoma,1972,2634000,2866.9,238.8
South Region,North Carolina,1972,5214000,2235.5,423.6
South Region,Mississippi,1972,2263000,1492.6,312.7
South Region,Maryland,1972,4056000,3977.5,651.2
South Region,Louisiana,1972,3720000,2960.2,422.4
South Region,Kentucky,1972,3299000,2007.9,225.7
South Region,Georgia,1972,4720000,2674.2,377.6
South Region,Florida,1972,7259000,4822.3,554.5
South Region,Delaware,1972,565000,4137.7,386
South Region,Arkansas,1972,1978000,2107.7,244.7
South Region,Alabama,1972,3510000,2081.3,313.2
Northeast Region,Vermont,1972,462000,2108.2,96.3
Northeast Region,Rhode Island,1972,968000,4302.6,250.4
Northeast Region,Pennsylvania,1972,11926000,2133.6,277.1
Northeast Region,New York,1972,18366000,3626.6,754.3
Northeast Region,New Jersey,1972,7367000,3465.7,374.3
Northeast Region,New Hampshire,1972,771000,1927.5,63.7
Northeast Region,Massachusetts,1972,5787000,3811.8,295.2
Northeast Region,Maine,1972,1029000,2479.5,111.1
Northeast Region,Connecticut,1972,3082000,3203.9,199.2
Midwest Region,Wisconsin,1972,4520000,2854.5,96.4
Midwest Region,South Dakota,1972,679000,2016.2,111.3
Midwest Region,Ohio,1972,10783000,3140,299.4
Midwest Region,North Dakota,1972,632000,1941.9,45.9
Midwest Region,Nebraska,1972,1525000,2455.5,173
Midwest Region,Missouri,1972,4753000,3549.8,383.4
Midwest Region,Minnesota,1972,3896000,3179.6,174.5
Midwest Region,Michigan,1972,9082000,4808.3,555.2
Midwest Region,Kansas,1972,2258000,3195,209.8
Midwest Region,Iowa,1972,2883000,2444.4,87.4
Midwest Region,Indiana,1972,5291000,3164.6,245.1
Midwest Region,Illinois,1972,11251000,3283.1,508.1
West Region,Wyoming,1973,353000,3196.9,216.1
West Region,Washington,1973,3429000,4818.5,271.5
West Region,Utah,1973,1157000,4038.6,208.5
West Region,Oregon,1973,2225000,5004.4,292.7
West Region,New Mexico,1973,1106000,4460.2,471.9
West Region,Nevada,1973,548000,6060,572.1
West Region,Montana,1973,721000,3227.9,167.4
West Region,Idaho,1973,770000,3293.6,164.2
West Region,Hawaii,1973,832000,4803.1,155.6
West Region,Colorado,1973,2437000,5081.9,414
West Region,California,1973,20601000,5739.1,565.8
West Region,Arizona,1973,2058000,6224,479.9
West Region,Alaska,1973,330000,4558.8,384.5
South Region,West Virginia,1973,1794000,1347.8,123.7
South Region,Virginia,1973,4811000,3224.9,332.7
South Region,Texas,1973,11794000,3740.1,385.4
South Region,Tennessee,1973,4126000,2702.1,358
South Region,South Carolina,1973,2726000,2932.4,394.6
South Region,Oklahoma,1973,2663000,3220.2,246.2
South Region,North Carolina,1973,5273000,2374,437.8
South Region,Mississippi,1973,2281000,1587.2,339.1
South Region,Maryland,1973,4070000,4150.3,641.1
South Region,Louisiana,1973,3764000,2977.3,425.6
South Region,Kentucky,1973,3342000,2045.2,220.1
South Region,Georgia,1973,4786000,3017.9,412.4
South Region,Florida,1973,7678000,5355.7,604.6
South Region,Delaware,1973,576000,4232.6,350
South Region,Arkansas,1973,2037000,2466.6,289.9
South Region,Alabama,1973,3539000,2232.2,350.1
Northeast Region,Vermont,1973,464000,2427.6,70.5
Northeast Region,Rhode Island,1973,973000,4395.8,282.5
Northeast Region,Pennsylvania,1973,11902000,2229.5,272.2
Northeast Region,New York,1973,18265000,3716.8,741.7
Northeast Region,New Jersey,1973,7361000,3690.6,391.9
Northeast Region,New Hampshire,1973,791000,2247.3,82
Northeast Region,Massachusetts,1973,5818000,4169.1,351.9
Northeast Region,Maine,1973,1028000,2720,122.4
Northeast Region,Connecticut,1973,3076000,3455.7,208.7
Midwest Region,Wisconsin,1973,4569000,3061.5,115.4
Midwest Region,South Dakota,1973,685000,2048.9,126.9
Midwest Region,Ohio,1973,10731000,3204.1,291.7
Midwest Region,North Dakota,1973,640000,2017.7,60.8
Midwest Region,Nebraska,1973,1542000,2625.8,185.4
Midwest Region,Missouri,1973,4757000,3732.8,408.7
Midwest Region,Minnesota,1973,3897000,3357.8,177.7
Midwest Region,Michigan,1973,9044000,4904.2,585.2
Midwest Region,Kansas,1973,2279000,3296.3,217.5
Midwest Region,Iowa,1973,2904000,2729.3,102.3
Midwest Region,Indiana,1973,5316000,3469.1,257.6
Midwest Region,Illinois,1973,11236000,3769.1,555.9
West Region,Wyoming,1974,359000,3505.8,144.6
West Region,Washington,1974,3476000,5662.8,346.3
West Region,Utah,1974,1173000,4735.6,214.6
West Region,Oregon,1974,2266000,5977.3,367.4
West Region,New Mexico,1974,1122000,4762.6,450.4
West Region,Nevada,1974,573000,7144.7,682.4
West Region,Montana,1974,735000,3921.4,162.4
West Region,Idaho,1974,799000,3899.2,183.4
West Region,Hawaii,1974,847000,5863.6,208
West Region,Colorado,1974,2496000,5736,429.8
West Region,California,1974,20907000,6236.2,610.6
West Region,Arizona,1974,2153000,7654.9,566.7
West Region,Alaska,1974,337000,4786.6,453.1
South Region,West Virginia,1974,1791000,1632,137.4
South Region,Virginia,1974,4908000,3831.1,356.8
South Region,Texas,1974,12050000,4396.9,390.1
South Region,Tennessee,1974,4129000,3272.4,386.8
South Region,South Carolina,1974,2784000,3709.5,455.7
South Region,Oklahoma,1974,2709000,3815.9,280.1
South Region,North Carolina,1974,5363000,3022.3,488.9
South Region,Mississippi,1974,2324000,1914.3,334.9
South Region,Maryland,1974,4094000,4931,719.1
South Region,Louisiana,1974,3764000,3343.7,472.7
South Region,Kentucky,1974,3357000,2525.7,234
South Region,Georgia,1974,4882000,3470.2,442.2
South Region,Florida,1974,8090000,6709.7,677.6
South Region,Delaware,1974,573000,5506.5,443.1
South Region,Arkansas,1974,2062000,2984.4,316.2
South Region,Alabama,1974,3577000,2627.2,372.9
Northeast Region,Vermont,1974,470000,2799.6,75.1
Northeast Region,Rhode Island,1974,937000,4831.1,282.9
Northeast Region,Pennsylvania,1974,11835000,2738.5,315
Northeast Region,New York,1974,18111000,4231,803
Northeast Region,New Jersey,1974,7330000,4368.3,403.4
Northeast Region,New Hampshire,1974,808000,3052.5,91.5
Northeast Region,Massachusetts,1974,5800000,4994.2,388.7
Northeast Region,Maine,1974,1047000,3462.7,137.5
Northeast Region,Connecticut,1974,3088000,4178.8,228.1
Midwest Region,Wisconsin,1974,4566000,3500.7,140.4
Midwest Region,South Dakota,1974,682000,2489.9,180.9
Midwest Region,Ohio,1974,10737000,3859.3,364.1
Midwest Region,North Dakota,1974,637000,2110,50.1
Midwest Region,Nebraska,1974,1543000,3104.7,239.6
Midwest Region,Missouri,1974,4777000,4335.6,452.4
Midwest Region,Minnesota,1974,3917000,3723.7,207.3
Midwest Region,Michigan,1974,9098000,5860.2,659.4
Midwest Region,Kansas,1974,2270000,4024.1,276.3
Midwest Region,Iowa,1974,2855000,3292.6,121
Midwest Region,Indiana,1974,5330000,4043.6,293.3
Midwest Region,Illinois,1974,11131000,4557.1,627.1
West Region,Wyoming,1975,374000,3951.6,204.3
West Region,Washington,1975,3544000,5750.1,390.8
West Region,Utah,1975,1206000,4880.8,231.8
West Region,Oregon,1975,2288000,6313.7,438.5
West Region,New Mexico,1975,1147000,5304.6,534.8
West Region,Nevada,1975,592000,7474.2,678.7
West Region,Montana,1975,748000,3999.3,189.6
West Region,Idaho,1975,820000,3937.4,203.7
West Region,Hawaii,1975,865000,5808.2,218.4
West Region,Colorado,1975,2534000,6212.4,463.1
West Region,California,1975,21185000,6549.2,655.4
West Region,Arizona,1975,2224000,7793.7,547.8
West Region,Alaska,1975,352000,5656.8,539.8
South Region,West Virginia,1975,1803000,1946.1,161.7
South Region,Virginia,1975,4967000,4165.6,380.9
South Region,Texas,1975,12237000,5016.5,390.6
South Region,Tennessee,1975,4188000,3873.5,397
South Region,South Carolina,1975,2818000,4130.1,511.4
South Region,Oklahoma,1975,2712000,4274.8,303.3
South Region,North Carolina,1975,5451000,3380.3,436.5
South Region,Mississippi,1975,2346000,2094.8,315.9
South Region,Maryland,1975,4098000,5197.7,709.8
South Region,Louisiana,1975,3791000,3645,478.4
South Region,Kentucky,1975,3396000,3000.3,264
South Region,Georgia,1975,4926000,4167,459
South Region,Florida,1975,8357000,7032.7,688.5
South Region,Delaware,1975,579000,6276.2,392.1
South Region,Arkansas,1975,2116000,3191.9,348.3
South Region,Alabama,1975,3614000,3079.6,392.9
Northeast Region,Vermont,1975,471000,3386,95.1
Northeast Region,Rhode Island,1975,927000,5341.5,302.3
Northeast Region,Pennsylvania,1975,11827000,3020.3,329.2
Northeast Region,New York,1975,18120000,4779.3,856.4
Northeast Region,New Jersey,1975,7316000,4731.3,413
Northeast Region,New Hampshire,1975,818000,3246.8,99.8
Northeast Region,Massachusetts,1975,5828000,5635.3,442.6
Northeast Region,Maine,1975,1059000,3740.1,219.5
Northeast Region,Connecticut,1975,3095000,4688.6,268.4
Midwest Region,Wisconsin,1975,4607000,3823.9,151.8
Midwest Region,South Dakota,1975,683000,2533.7,205.3
Midwest Region,Ohio,1975,10759000,4506.4,408
Midwest Region,North Dakota,1975,635000,2284.1,53.1
Midwest Region,Nebraska,1975,1546000,3356.2,257.8
Midwest Region,Missouri,1975,4763000,4904,493.8
Midwest Region,Minnesota,1975,3926000,4091.7,207
Midwest Region,Michigan,1975,9157000,6114.6,685.7
Midwest Region,Kansas,1975,2267000,4468.8,278.2
Midwest Region,Iowa,1975,2870000,3768,140.7
Midwest Region,Indiana,1975,5311000,4578.6,332.8
Midwest Region,Illinois,1975,11145000,5033.2,670.2
West Region,Wyoming,1976,390000,3756.9,218.2
West Region,Washington,1976,3612000,5405.4,388.6
West Region,Utah,1976,1228000,4757.2,220.6
West Region,Oregon,1976,2329000,5901.4,457.4
West Region,New Mexico,1976,1168000,5660.6,554.4
West Region,Nevada,1976,610000,7615.1,691
West Region,Montana,1976,753000,4081.5,180.3
West Region,Idaho,1976,831000,4043.8,226.7
West Region,Hawaii,1976,887000,6092.7,229.3
West Region,Colorado,1976,2583000,6365.4,417
West Region,California,1976,21520000,6564.7,669.3
West Region,Arizona,1976,2270000,7431.1,455.3
West Region,Alaska,1976,382000,5680.6,540.1
South Region,West Virginia,1976,1821000,2168,151.6
South Region,Virginia,1976,5032000,3895.4,307.7
South Region,Texas,1976,12487000,5108.7,355.7
South Region,Tennessee,1976,4214000,3865.1,393.3
South Region,South Carolina,1976,2848000,4307.7,599.2
South Region,Oklahoma,1976,2766000,4194.3,286.6
South Region,North Carolina,1976,5469000,3477.8,403.4
South Region,Mississippi,1976,2354000,2172.9,295.4
South Region,Maryland,1976,4144000,5031,633.4
South Region,Louisiana,1976,3841000,3888.2,472.8
South Region,Kentucky,1976,3428000,3034.7,262.2
South Region,Georgia,1976,4970000,4386.4,423.1
South Region,Florida,1976,8421000,6368.4,648.3
South Region,Delaware,1976,582000,5942.8,321.6
South Region,Arkansas,1976,2109000,3102.8,303.9
South Region,Alabama,1976,3665000,3419.5,388.8
Northeast Region,Vermont,1976,476000,3073.9,118.3
Northeast Region,Rhode Island,1976,927000,5350.4,299.8
Northeast Region,Pennsylvania,1976,11862000,3045,294.9
Northeast Region,New York,1976,18084000,5357,868.1
Northeast Region,New Jersey,1976,7336000,5003.7,396.8
Northeast Region,New Hampshire,1976,822000,3525.1,86.3
Northeast Region,Massachusetts,1976,5809000,5421.7,399.2
Northeast Region,Maine,1976,1070000,3864.4,220
Northeast Region,Connecticut,1976,3117000,4731.4,273.2
Midwest Region,Wisconsin,1976,4609000,3763,137.7
Midwest Region,South Dakota,1976,686000,2454.2,186.2
Midwest Region,Ohio,1976,10690000,4559.5,388.7
Midwest Region,North Dakota,1976,643000,2442.5,71.9
Midwest Region,Nebraska,1976,1553000,3351.4,210.5
Midwest Region,Missouri,1976,4778000,4584.7,449.4
Midwest Region,Minnesota,1976,3965000,4142.1,189
Midwest Region,Michigan,1976,9104000,5832.2,646
Midwest Region,Kansas,1976,2310000,4495.8,282.6
Midwest Region,Iowa,1976,2870000,3918.6,132.9
Midwest Region,Indiana,1976,5302000,4357.9,315.4
Midwest Region,Illinois,1976,11229000,4829.5,625.8
West Region,Wyoming,1977,406000,3865.8,240.9
West Region,Washington,1977,3658000,5352.8,374.9
West Region,Utah,1977,1268000,4510.6,240
West Region,Oregon,1977,2376000,5531.4,455.8
West Region,New Mexico,1977,1190000,4686.7,500.9
West Region,Nevada,1977,633000,7225,743
West Region,Montana,1977,761000,3887.3,218
West Region,Idaho,1977,857000,3888,236.9
West Region,Hawaii,1977,895000,6321.3,224.8
West Region,Colorado,1977,2619000,6315.6,511.9
West Region,California,1977,21896000,6302.7,706
West Region,Arizona,1977,2296000,7253,494.2
West Region,Alaska,1977,407000,5454.8,443.2
South Region,West Virginia,1977,1859000,2102.4,152.3
South Region,Virginia,1977,5135000,3734,290
South Region,Texas,1977,12830000,4989.4,407.7
South Region,Tennessee,1977,4299000,3582.8,389.5
South Region,South Carolina,1977,2876000,4201.1,636.2
South Region,Oklahoma,1977,2811000,3843,316.6
South Region,North Carolina,1977,5525000,3384,407.1
South Region,Mississippi,1977,2389000,2299.9,288.7
South Region,Maryland,1977,4139000,5006.2,693.8
South Region,Louisiana,1977,3921000,3973.1,524.8
South Region,Kentucky,1977,3458000,2779.8,233.6
South Region,Georgia,1977,5048000,3819.2,439.8
South Region,Florida,1977,8452000,6051.8,686.8
South Region,Delaware,1977,582000,5828,382.1
South Region,Arkansas,1977,2144000,3018.1,322.9
South Region,Alabama,1977,3690000,3298.2,414.4
Northeast Region,Vermont,1977,483000,3814.5,149.5
Northeast Region,Rhode Island,1977,935000,5125,301.6
Northeast Region,Pennsylvania,1977,11785000,2834.7,282.8
Northeast Region,New York,1977,17924000,5255.8,831.8
Northeast Region,New Jersey,1977,7329000,4721.8,392
Northeast Region,New Hampshire,1977,849000,3679,113.1
Northeast Region,Massachusetts,1977,5782000,4983.7,425.3
Northeast Region,Maine,1977,1085000,3850.7,224.7
Northeast Region,Connecticut,1977,3108000,4559.8,282.3
Midwest Region,Wisconsin,1977,4651000,3681.9,131.5
Midwest Region,South Dakota,1977,689000,2422.4,189.1
Midwest Region,Ohio,1977,10701000,4313.2,406.7
Midwest Region,North Dakota,1977,653000,2433.8,67.1
Midwest Region,Nebraska,1977,1561000,3325.2,199.4
Midwest Region,Missouri,1977,4801000,4120.8,460.4
Midwest Region,Minnesota,1977,3975000,4037,193.8
Midwest Region,Michigan,1977,9129000,5227.3,584.7
Midwest Region,Kansas,1977,2326000,4254,309.8
Midwest Region,Iowa,1977,2879000,3717.5,144
Midwest Region,Indiana,1977,5330000,3962.3,310.6
Midwest Region,Illinois,1977,11245000,4697.1,630.6
West Region,Wyoming,1978,424000,4214.2,280.4
West Region,Washington,1978,3774000,5710.3,405.3
West Region,Utah,1978,1307000,4707.1,271.8
West Region,Oregon,1978,2444000,5573,502.4
West Region,New Mexico,1978,1212000,4652.1,528.2
West Region,Nevada,1978,660000,7506.1,780.8
West Region,Montana,1978,785000,3678.2,237.6
West Region,Idaho,1978,878000,3778.4,236.4
West Region,Hawaii,1978,897000,6866,270.1
West Region,Colorado,1978,2670000,6334.5,498
West Region,California,1978,22294000,6373.3,742.9
West Region,Arizona,1978,2354000,7051.7,552.1
West Region,Alaska,1978,403000,5604.2,441.9
South Region,West Virginia,1978,1860000,2102.4,167.7
South Region,Virginia,1978,5148000,3786.6,286.4
South Region,Texas,1978,13014000,5121.5,435.3
South Region,Tennessee,1978,4357000,3307.8,382.6
South Region,South Carolina,1978,2918000,4258.4,637.6
South Region,Oklahoma,1978,2880000,3776.9,353
South Region,North Carolina,1978,5577000,3468.7,413.4
South Region,Mississippi,1978,2404000,2233.7,321.2
South Region,Maryland,1978,4143000,5081.6,732
South Region,Louisiana,1978,3966000,4207.4,584.9
South Region,Kentucky,1978,3498000,2799.9,223.2
South Region,Georgia,1978,5084000,4288.5,482.8
South Region,Florida,1978,8594000,6303.9,765.6
South Region,Delaware,1978,583000,5913.2,440.7
South Region,Arkansas,1978,2186000,3117.6,344.1
South Region,Alabama,1978,3742000,3519.7,419.1
Northeast Region,Vermont,1978,487000,3640.2,166.3
Northeast Region,Rhode Island,1978,935000,4914.1,348.1
Northeast Region,Pennsylvania,1978,11750000,2883.6,301.1
Northeast Region,New York,1978,17748000,4951.2,841
Northeast Region,New Jersey,1978,7327000,4783.7,423.5
Northeast Region,New Hampshire,1978,871000,3948.7,118.8
Northeast Region,Massachusetts,1978,5774000,4888.5,462
Northeast Region,Maine,1978,1091000,3930.8,207.7
Northeast Region,Connecticut,1978,3099000,4614.5,315
Midwest Region,Wisconsin,1978,4679000,3748.1,132.2
Midwest Region,South Dakota,1978,690000,2525.8,163.5
Midwest Region,Ohio,1978,10749000,4246.2,412.7
Midwest Region,North Dakota,1978,652000,2338.3,67
Midwest Region,Nebraska,1978,1565000,3250.7,190.5
Midwest Region,Missouri,1978,4860000,4059.5,467.9
Midwest Region,Minnesota,1978,4008000,3954.5,189.6
Midwest Region,Michigan,1978,9189000,5016.9,577.2
Midwest Region,Kansas,1978,2348000,4225.9,318.2
Midwest Region,Iowa,1978,2896000,3818.7,161.4
Midwest Region,Indiana,1978,5374000,4015.1,323.5
Midwest Region,Illinois,1978,11243000,4943.1,676.7
West Region,Wyoming,1979,450000,4473.1,350.9
West Region,Washington,1979,3926000,6094.9,434.6
West Region,Utah,1979,1367000,5187.9,304.2
West Region,Oregon,1979,2527000,5827.6,545.4
West Region,New Mexico,1979,1241000,5202.5,586
West Region,Nevada,1979,702000,7996,835.6
West Region,Montana,1979,786000,4236.4,224.2
West Region,Idaho,1979,905000,3952,288.7
West Region,Hawaii,1979,915000,6957.8,289.7
West Region,Colorado,1979,2772000,6529,522.1
West Region,California,1979,22696000,6657.7,811.1
West Region,Arizona,1979,2450000,7264.4,593
West Region,Alaska,1979,406000,5712.6,491.1
South Region,West Virginia,1979,1878000,2157.2,168.1
South Region,Virginia,1979,5197000,4060.3,301
South Region,Texas,1979,13385000,5417.3,507.9
South Region,Tennessee,1979,4380000,3599.3,414
South Region,South Carolina,1979,2932000,4387.8,678.3
South Region,Oklahoma,1979,2892000,4297.8,405.2
South Region,North Carolina,1979,5606000,3926.4,446.1
South Region,Mississippi,1979,2406000,2637,323.6
South Region,Maryland,1979,4149000,5499.1,795.5
South Region,Louisiana,1979,4026000,4682.4,676.3
South Region,Kentucky,1979,3527000,2935.9,248
South Region,Georgia,1979,5118000,4858.2,558.7
South Region,Florida,1979,8860000,6854.2,833.9
South Region,Delaware,1979,582000,5988.5,537.3
South Region,Arkansas,1979,2180000,3254.5,366.2
South Region,Alabama,1979,3769000,3830.5,413.3
Northeast Region,Vermont,1979,493000,5115,184.2
Northeast Region,Rhode Island,1979,929000,5394.4,375.1
Northeast Region,Pennsylvania,1979,11731000,3161.8,333.6
Northeast Region,New York,1979,17649000,5287.7,917.4
Northeast Region,New Jersey,1979,7332000,5319.4,501.2
Northeast Region,New Hampshire,1979,887000,4438.9,139.9
Northeast Region,Massachusetts,1979,5769000,5386.7,531.3
Northeast Region,Maine,1979,1097000,4104.8,202.5
Northeast Region,Connecticut,1979,3115000,5365.4,414.2
Midwest Region,Wisconsin,1979,4720000,4221.9,166.1
Midwest Region,South Dakota,1979,689000,2800.7,159.1
Midwest Region,Ohio,1979,10731000,4672.3,457.5
Midwest Region,North Dakota,1979,657000,2694.5,61.3
Midwest Region,Nebraska,1979,1574000,3767.2,225.9
Midwest Region,Missouri,1979,4868000,4412.7,527.2
Midwest Region,Minnesota,1979,4060000,4171.8,221
Midwest Region,Michigan,1979,9208000,5532.8,614.2
Midwest Region,Kansas,1979,2369000,4542.2,353.6
Midwest Region,Iowa,1979,2903000,4120.6,181.2
Midwest Region,Indiana,1979,5400000,4263.4,338
Midwest Region,Illinois,1979,11230000,5287.2,743.9
West Region,Wyoming,1980,468954,4593.8,392.6
West Region,Washington,1980,4113331,6450.7,464.3
West Region,Utah,1980,1458729,5577.3,303.3
West Region,Oregon,1980,2610477,6196.5,490.4
West Region,New Mexico,1980,1295474,5364.1,615
West Region,Nevada,1980,800312,7941.4,912.6
West Region,Montana,1980,781592,4801.9,222.6
West Region,Idaho,1980,943629,4468.8,313.4
West Region,Hawaii,1980,964680,7182.8,299.5
West Region,Colorado,1980,2878407,6804.9,528.6
West Region,California,1980,23532680,6939.5,893.6
West Region,Arizona,1980,2715357,7519.9,650.9
West Region,Alaska,1980,440142,5209.7,436
South Region,West Virginia,1980,1930787,2367.9,183.7
South Region,Virginia,1980,5323412,4312.8,307.2
South Region,Texas,1980,14169829,5592.7,550.3
South Region,Tennessee,1980,4545590,4039.8,458.1
South Region,South Carolina,1980,3064557,4779.2,660
South Region,Oklahoma,1980,3001252,4633.4,419.5
South Region,North Carolina,1980,5843665,4185.5,455
South Region,Mississippi,1980,2511491,3075.2,341.9
South Region,Maryland,1980,4192211,5777.7,852.4
South Region,Louisiana,1980,4199542,4788.8,665
South Region,Kentucky,1980,3641479,3167.1,266.7
South Region,Georgia,1980,5400851,5048.3,555.3
South Region,Florida,1980,9567112,7418.4,983.5
South Region,Delaware,1980,594779,6301.8,474.8
South Region,Arkansas,1980,2284037,3475.9,335.2
South Region,Alabama,1980,3861466,4485.1,448.5
Northeast Region,Vermont,1980,511299,4809.7,178.8
Northeast Region,Rhode Island,1980,945835,5524.1,408.5
Northeast Region,Pennsylvania,1980,11824220,3372.4,363.9
Northeast Region,New York,1980,17506690,5882,1029.5
Northeast Region,New Jersey,1980,7342164,5797,604.4
Northeast Region,New Hampshire,1980,919114,4499.8,179.8
Northeast Region,Massachusetts,1980,5728288,5477.8,601.3
Northeast Region,Maine,1980,1123670,4174.2,193.4
Northeast Region,Connecticut,1980,3095224,5469.2,412.5
Midwest Region,Wisconsin,1980,4680917,4616,182.6
Midwest Region,South Dakota,1980,688217,3116.3,126.8
Midwest Region,Ohio,1980,10766808,4933.1,498.3
Midwest Region,North Dakota,1980,652437,2909.7,54
Midwest Region,Nebraska,1980,1563921,4080.6,224.6
Midwest Region,Missouri,1980,4901288,4878.6,554.5
Midwest Region,Minnesota,1980,4061235,4571.7,227.8
Midwest Region,Michigan,1980,9228128,6036.4,639.5
Midwest Region,Kansas,1980,2354783,4989.5,389.3
Midwest Region,Iowa,1980,2907804,4546.4,200.4
Midwest Region,Indiana,1980,5461103,4552.5,377.8
Midwest Region,Illinois,1980,11355062,5461.1,808
West Region,Wyoming,1981,492000,4701.8,430.1
West Region,Washington,1981,4212000,6294.8,447.3
West Region,Utah,1981,1516000,5451.4,298.6
West Region,Oregon,1981,2647000,6558.2,478.7
West Region,New Mexico,1981,1327000,5528.9,671.7
West Region,Nevada,1981,845000,7695.5,896.4
West Region,Montana,1981,792000,4765.9,253
West Region,Idaho,1981,959000,4247.4,283.3
West Region,Hawaii,1981,979000,6295.8,247.6
West Region,Colorado,1981,2963000,6821.4,531.7
West Region,California,1981,24159000,6727.5,863
West Region,Arizona,1981,2793000,7038.1,575.8
West Region,Alaska,1981,412000,5979.1,615.8
South Region,West Virginia,1981,1951000,2443.9,174.8
South Region,Virginia,1981,5426000,4349.1,321.7
South Region,Texas,1981,14755000,5517.9,532.4
South Region,Tennessee,1981,4610000,3898.9,412.6
South Region,South Carolina,1981,3166000,4678.7,640.4
South Region,Oklahoma,1981,3098000,4410.5,426.8
South Region,North Carolina,1981,5951000,4083.5,436.7
South Region,Mississippi,1981,2530000,3232.8,304.6
South Region,Maryland,1981,4261000,5670.6,887.1
South Region,Louisiana,1981,4305000,4629.4,638.3
South Region,Kentucky,1981,3661000,3242,289.5
South Region,Georgia,1981,5569000,5080.4,548.2
South Region,Florida,1981,10166000,7067.4,965.1
South Region,Delaware,1981,598000,6180.3,509
South Region,Arkansas,1981,2294000,3486.1,310.3
South Region,Alabama,1981,3916000,4428.3,470.5
Northeast Region,Vermont,1981,515000,4932.8,128
Northeast Region,Rhode Island,1981,952000,5410.1,441.7
Northeast Region,Pennsylvania,1981,11864000,3311.5,371.7
